codigo_dimension,dimension,pregunta_analisis,evidencia_identificada,fuentes_respaldo,estado_evidencia,hallazgo_integrado,interpretacion_permitida,interpretacion_no_permitida,limitacion,nivel_confianza,verificacion_pendiente
DIM-01,Diseño y planificación,¿Existe diseño formal y coherente del PMSCC?,Estructura planificada verificada con 4 ejes 5 objetivos 8 políticas 15 programas y 27 proyectos,F01,Evidencia suficiente,Existe diseño formal documentado del plan 2023-2027,Analizar arquitectura planificada como base de implementación,No presentar estructura planificada como ejecución cumplida,No contiene evidencia empírica de ejecución por sí sola,Alto,Contrastar con reportes de avance por programa y proyecto
DIM-02,Marco institucional y normativo,¿Hay respaldo normativo y responsabilidades formales?,Resolución ADMQ 008-2024 con mandato de implementación y obligación de informar resultados,F03,Evidencia suficiente,Existe base jurídica formal y responsable institucional explícito,Usar la resolución para identificar mandato y gobernanza,No asumir que obligación normativa implica cumplimiento automático,No detalla plazos operativos ni indicadores en la propia resolución,Alto,Verificar informes emitidos de resultados y evaluación
DIM-03,Recursos y presupuesto,¿Se puede evaluar asignación y ejecución de recursos?,Menciones institucionales y operativas sin detalle financiero consolidado,F02|F03|F06,Evidencia limitada,No identificado en las fuentes revisadas información presupuestaria suficientemente detallada para evaluar la ejecución de recursos,Delimitar que la evidencia financiera es insuficiente,No calcular ni inferir porcentaje de ejecución sin datos,Ausencia de montos fuentes de financiamiento y ejecución anual verificable,Medio,Recopilar presupuesto programado y ejecutado por componente y año
DIM-04,Actividades ejecutadas,¿Qué actividades ejecutadas son verificables?,Registros operativos de emergencias y actividad de vinculación más rutas de seguimiento institucional,F02|F06,Evidencia parcial,Hay evidencia de actividades operativas y de seguimiento pero no trazabilidad integral al PMSCC,Describir actividades observables con alcance y límites,No presentar toda actividad operativa como actividad ejecutada del plan municipal,No hay correspondencia completa actividad-proyecto-territorio,Medio,Contrastar con reportes municipales de ejecución por proyecto
DIM-05,Coordinación interinstitucional,¿Se evidencia coordinación entre actores?,Coordinación formal en resolución y coordinación operativa ECU 911 con instituciones articuladas,F03|F06|F02,Evidencia parcial,Se observa coordinación en plano normativo y operativo con alcances distintos,Analizar coordinación como dimensión de implementación,No equiparar coordinación operativa nacional con implementación completa del PMSCC,No se dispone de trazabilidad completa de coordinación efectiva por proyecto,Medio,Verificar actas protocolos y resultados de coordinación
DIM-06,Cobertura territorial y poblacional,¿Qué cobertura territorial se confirma para DMQ?,Ámbito DMQ en F01 F02 F03 y cifra asociada a localidad Quito en F06,F01|F02|F03|F06,Evidencia parcial,Existe referencia territorial metropolitana y dato operativo asociado a Quito,Usar referencia territorial con advertencia metodológica,No asumir equivalencia automática entre localidad Quito y perímetro exacto DMQ,No hay desagregación robusta por zonal parroquia barrio sector o población beneficiaria,Medio,Verificar delimitación territorial y cobertura detallada
DIM-07,Productos entregados,¿Qué productos concretos del plan se pueden verificar?,Resolución y portal disponibles más menciones operativas de interoperabilidad y sistemas,F02|F03|F06,Evidencia limitada,No identificado en las fuentes revisadas inventario completo de productos municipales entregados,Registrar instrumentos y menciones documentales con cautela,No afirmar entrega física verificable sin soporte específico,Falta trazabilidad territorial y temporal de productos del PMSCC,Medio,Integrar inventarios y actas de entrega por componente
DIM-08,Resultados inmediatos,¿Hay resultados de corto plazo medibles?,Cifras operativas de emergencias y operaciones estadísticas contextuales potenciales,F04|F06,Evidencia parcial,Hay resultados operativos y contexto estadístico potencial con límites de comparabilidad,Interpretar resultados como evidencia descriptiva contextual,No presentar emergencias como delitos ni afirmar causalidad,No hay sistema integrado y verificable de resultados específicos de Quito en el texto F04,Medio,Validar series comparables por indicador y territorio
DIM-09,Participación ciudadana,¿Se documenta participación ciudadana en la implementación?,Participación en formulación del plan y menciones normativas de coproducción,F01|F03,Evidencia parcial,Hay evidencia de participación en formulación y reconocimiento institucional de participación,Reconocer participación como componente de diseño y gobernanza,No extrapolar participación en formulación a implementación completa 2023-2025,No identificado en las fuentes revisadas mecanismo detallado y trazable de participación en ejecución reciente,Medio,Recopilar evidencias de participación en implementación por territorio
DIM-10,Equidad territorial,¿Puede evaluarse distribución equitativa de intervenciones?,Referencias generales de diagnóstico y cobertura sin trazabilidad de ejecución por zonas,F01|F02|F06,Evidencia limitada,No valorable con suficiente robustez la distribución territorial de intervenciones del plan,Identificar límite metodológico explícito,No concluir inequidad o equidad sin desagregación verificable,No hay evidencia consolidada por administración zonal parroquia barrio y sector,Medio,Incorporar datos de intervención desagregados territorialmente
DIM-11,Transparencia seguimiento y rendición de cuentas,¿Existen mecanismos y evidencia de reporte público?,Portal de seguimiento y obligación normativa de informar resultados y evaluación,F02|F03,Evidencia parcial,Existen mecanismos formales de seguimiento y rendición de cuentas,Usar estos mecanismos como base de trazabilidad documental,No afirmar cumplimiento total de transparencia sin reportes consolidados verificables,No identificado en las fuentes revisadas reporte integral de cumplimiento de metas,Medio,Contrastar publicaciones periódicas y metodología de indicadores de seguimiento
